LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WAGEGAP,EMPLOYEE,PC,A,2016,11.53846154,
AUS,WAGEGAP,EMPLOYEE,PC,A,2017,11.66419019,
AUS,WAGEGAP,EMPLOYEE,PC,A,2018,11.71428571,
AUS,WAGEGAP,EMPLOYEE,PC,A,2019,14.15787792,
AUS,WAGEGAP,EMPLOYEE,PC,A,2020,9.863859826,
AUT,WAGEGAP,EMPLOYEE,PC,A,2016,15.67089964,
AUT,WAGEGAP,EMPLOYEE,PC,A,2017,15.38215397,
AUT,WAGEGAP,EMPLOYEE,PC,A,2018,14.87669089,
AUT,WAGEGAP,EMPLOYEE,PC,A,2019,14.01174081,
BEL,WAGEGAP,EMPLOYEE,PC,A,2016,3.701298701,
BEL,WAGEGAP,EMPLOYEE,PC,A,2017,4.190296156,
BEL,WAGEGAP,EMPLOYEE,PC,A,2018,3.408756979,
CAN,WAGEGAP,EMPLOYEE,PC,A,2016,18.22115385,
CAN,WAGEGAP,EMPLOYEE,PC,A,2017,18.17322239,
CAN,WAGEGAP,EMPLOYEE,PC,A,2018,18.51851852,
CAN,WAGEGAP,EMPLOYEE,PC,A,2019,17.60714286,
CAN,WAGEGAP,EMPLOYEE,PC,A,2020,16.11253197,
CZE,WAGEGAP,EMPLOYEE,PC,A,2016,16.02343084,
CZE,WAGEGAP,EMPLOYEE,PC,A,2017,15.61401089,
CZE,WAGEGAP,EMPLOYEE,PC,A,2018,15.12741386,
CZE,WAGEGAP,EMPLOYEE,PC,A,2019,14.71433226,
CZE,WAGEGAP,EMPLOYEE,PC,A,2020,12.37286209,
DNK,WAGEGAP,EMPLOYEE,PC,A,2016,5.732628038,
DNK,WAGEGAP,EMPLOYEE,PC,A,2017,5.296691966,
DNK,WAGEGAP,EMPLOYEE,PC,A,2018,4.86320601,
DNK,WAGEGAP,EMPLOYEE,PC,A,2019,5.059215628,
FIN,WAGEGAP,EMPLOYEE,PC,A,2016,16.47225837,
FIN,WAGEGAP,EMPLOYEE,PC,A,2017,17.71792064,
FIN,WAGEGAP,EMPLOYEE,PC,A,2018,18.85520372,
FIN,WAGEGAP,EMPLOYEE,PC,A,2019,17.15982964,
FRA,WAGEGAP,EMPLOYEE,PC,A,2018,11.82380216,
DEU,WAGEGAP,EMPLOYEE,PC,A,2016,15.51071879,
DEU,WAGEGAP,EMPLOYEE,PC,A,2017,16.19047619,
DEU,WAGEGAP,EMPLOYEE,PC,A,2018,15.25012142,
DEU,WAGEGAP,EMPLOYEE,PC,A,2019,13.89490258,
GRC,WAGEGAP,EMPLOYEE,PC,A,2018,5.909090909,
HUN,WAGEGAP,EMPLOYEE,PC,A,2016,9.364317181,
HUN,WAGEGAP,EMPLOYEE,PC,A,2017,5.320268655,
HUN,WAGEGAP,EMPLOYEE,PC,A,2018,5.063214286,
HUN,WAGEGAP,EMPLOYEE,PC,A,2019,12.7536732,
ISL,WAGEGAP,EMPLOYEE,PC,A,2018,12.90124719,
IRL,WAGEGAP,EMPLOYEE,PC,A,2018,8.284023669,
ITA,WAGEGAP,EMPLOYEE,PC,A,2018,5.708061002,
JPN,WAGEGAP,EMPLOYEE,PC,A,2016,24.60128945,
JPN,WAGEGAP,EMPLOYEE,PC,A,2017,24.51809266,
JPN,WAGEGAP,EMPLOYEE,PC,A,2018,23.53736896,
JPN,WAGEGAP,EMPLOYEE,PC,A,2019,23.48001344,
JPN,WAGEGAP,EMPLOYEE,PC,A,2020,22.51856854,
KOR,WAGEGAP,EMPLOYEE,PC,A,2016,36.66666667,
KOR,WAGEGAP,EMPLOYEE,PC,A,2017,34.61738256,
KOR,WAGEGAP,EMPLOYEE,PC,A,2018,34.10731095,
KOR,WAGEGAP,EMPLOYEE,PC,A,2019,32.48044472,
KOR,WAGEGAP,EMPLOYEE,PC,A,2020,31.48475223,
LUX,WAGEGAP,EMPLOYEE,PC,A,2018,-3.133514986,
MEX,WAGEGAP,EMPLOYEE,PC,A,2016,16.49224806,
MEX,WAGEGAP,EMPLOYEE,PC,A,2017,11.11111111,
MEX,WAGEGAP,EMPLOYEE,PC,A,2018,14,
MEX,WAGEGAP,EMPLOYEE,PC,A,2019,18.75,
MEX,WAGEGAP,EMPLOYEE,PC,A,2020,9.612403101,
NLD,WAGEGAP,EMPLOYEE,PC,A,2018,12.65709156,
NZL,WAGEGAP,EMPLOYEE,PC,A,2016,7.769230769,
NZL,WAGEGAP,EMPLOYEE,PC,A,2017,7.150837989,
NZL,WAGEGAP,EMPLOYEE,PC,A,2018,7.869692533,
NZL,WAGEGAP,EMPLOYEE,PC,A,2019,6.508450198,
NZL,WAGEGAP,EMPLOYEE,PC,A,2020,4.581467448,
NOR,WAGEGAP,EMPLOYEE,PC,A,2016,6.306306306,
NOR,WAGEGAP,EMPLOYEE,PC,A,2017,5.49476135,
NOR,WAGEGAP,EMPLOYEE,PC,A,2018,5.129369042,
NOR,WAGEGAP,EMPLOYEE,PC,A,2019,4.36786655,
NOR,WAGEGAP,EMPLOYEE,PC,A,2020,4.813863928,
POL,WAGEGAP,EMPLOYEE,PC,A,2016,9.417880936,
POL,WAGEGAP,EMPLOYEE,PC,A,2018,11.49790995,
PRT,WAGEGAP,EMPLOYEE,PC,A,2018,11.66500499,
SVK,WAGEGAP,EMPLOYEE,PC,A,2016,13.89918214,
SVK,WAGEGAP,EMPLOYEE,PC,A,2017,15.04004233,
SVK,WAGEGAP,EMPLOYEE,PC,A,2018,15.66208013,
SVK,WAGEGAP,EMPLOYEE,PC,A,2019,13.86984995,
SVK,WAGEGAP,EMPLOYEE,PC,A,2020,11.01446782,
ESP,WAGEGAP,EMPLOYEE,PC,A,2018,8.621607238,
SWE,WAGEGAP,EMPLOYEE,PC,A,2016,8.169934641,
SWE,WAGEGAP,EMPLOYEE,PC,A,2017,7.348242812,
SWE,WAGEGAP,EMPLOYEE,PC,A,2018,7.142857143,
SWE,WAGEGAP,EMPLOYEE,PC,A,2019,7.575757576,
SWE,WAGEGAP,EMPLOYEE,PC,A,2020,7.418397626,
CHE,WAGEGAP,EMPLOYEE,PC,A,2016,14.76237207,
CHE,WAGEGAP,EMPLOYEE,PC,A,2018,15.09564735,
TUR,WAGEGAP,EMPLOYEE,PC,A,2018,9.980806142,
GBR,WAGEGAP,EMPLOYEE,PC,A,2016,16.7965368,
GBR,WAGEGAP,EMPLOYEE,PC,A,2017,16.53410053,
GBR,WAGEGAP,EMPLOYEE,PC,A,2018,16.3104242,
GBR,WAGEGAP,EMPLOYEE,PC,A,2019,16.09980928,
GBR,WAGEGAP,EMPLOYEE,PC,A,2020,12.27786753,
USA,WAGEGAP,EMPLOYEE,PC,A,2016,18.1420765,
USA,WAGEGAP,EMPLOYEE,PC,A,2017,18.17215728,
USA,WAGEGAP,EMPLOYEE,PC,A,2018,18.91058582,
USA,WAGEGAP,EMPLOYEE,PC,A,2019,18.47070507,
USA,WAGEGAP,EMPLOYEE,PC,A,2020,17.65249538,
BGR,WAGEGAP,EMPLOYEE,PC,A,2018,3.03030303,
CHL,WAGEGAP,EMPLOYEE,PC,A,2017,12.5,
CHL,WAGEGAP,EMPLOYEE,PC,A,2020,8.596458333,
COL,WAGEGAP,EMPLOYEE,PC,A,2016,7.091750669,
COL,WAGEGAP,EMPLOYEE,PC,A,2017,7.692307692,
COL,WAGEGAP,EMPLOYEE,PC,A,2018,5.787925926,
COL,WAGEGAP,EMPLOYEE,PC,A,2019,4,
COL,WAGEGAP,EMPLOYEE,PC,A,2020,-0.114025086,
CRI,WAGEGAP,EMPLOYEE,PC,A,2016,1.785714286,
CRI,WAGEGAP,EMPLOYEE,PC,A,2017,2.967032967,
CRI,WAGEGAP,EMPLOYEE,PC,A,2018,4.725274725,
CRI,WAGEGAP,EMPLOYEE,PC,A,2019,0,
HRV,WAGEGAP,EMPLOYEE,PC,A,2018,7.915057915,
CYP,WAGEGAP,EMPLOYEE,PC,A,2018,15.87104774,
EST,WAGEGAP,EMPLOYEE,PC,A,2018,17.31843575,
ISR,WAGEGAP,EMPLOYEE,PC,A,2016,21.59333204,
ISR,WAGEGAP,EMPLOYEE,PC,A,2017,21.79178994,
ISR,WAGEGAP,EMPLOYEE,PC,A,2018,22.65919243,
LVA,WAGEGAP,EMPLOYEE,PC,A,2018,20.28985507,
LTU,WAGEGAP,EMPLOYEE,PC,A,2018,11.68981482,
MLT,WAGEGAP,EMPLOYEE,PC,A,2018,11.09375,
ROU,WAGEGAP,EMPLOYEE,PC,A,2018,3.496503497,
SVN,WAGEGAP,EMPLOYEE,PC,A,2018,8.194536975,
OECD,WAGEGAP,EMPLOYEE,PC,A,2016,12.97059819,
OECD,WAGEGAP,EMPLOYEE,PC,A,2017,12.63513656,
OECD,WAGEGAP,EMPLOYEE,PC,A,2018,12.61754344,
OECD,WAGEGAP,EMPLOYEE,PC,A,2019,12.52983773,
EU27,WAGEGAP,EMPLOYEE,PC,A,2016,11.57766552,
EU27,WAGEGAP,EMPLOYEE,PC,A,2017,11.33141905,
EU27,WAGEGAP,EMPLOYEE,PC,A,2018,11.13851326,
EU27,WAGEGAP,EMPLOYEE,PC,A,2019,11.24320441,
NOR*2,WAGEGAP,EMPLOYEE,PC,A,2016,12.61261261,
NOR*2,WAGEGAP,EMPLOYEE,PC,A,2017,10.9895227,
NOR*2,WAGEGAP,EMPLOYEE,PC,A,2018,10.25873808,
NOR*2,WAGEGAP,EMPLOYEE,PC,A,2019,8.7357331,
NOR*2,WAGEGAP,EMPLOYEE,PC,A,2020,9.627727856,