"Proportion of GCSE entries that achieved a pass grade in the UK 2000-2021, by gender",,,,
"Proportion of GCSE entries awarded a C/4 or higher in the United Kingdom between 2000 and 2021, by gender",,,,
,Male,Female,Difference,
2000,51.9,61.1,9.2,in %
2001,52.6,61.5,8.9,in %
2002,53.4,62.4,9.0,in %
2003,53.6,62.4,8.8,in %
2004,54.9,63.3,8.4,in %
2005,57,65.2,8.2,in %
2006,58.5,66.2,7.7,in %
2007,59.7,66.8,7.1,in %
2008,62.1,69.3,7.2,in %
2009,63.6,70.5,6.9,in %
2010,65.4,72.6,7.2,in %
2011,66,73.5,7.5,in %
2012,65.4,73.3,7.9,in %
2013,63.7,72.3,8.6,in %
2014,64.3,73.1,8.8,in %
2015,64.7,73.1,8.4,in %
2016,62.4,71.3,8.9,in %
2017,61.6,71.1,9.5,in %
2018,62.3,71.4,9.1,in %
2019,62.9,71.7,8.8,in %
2020,72.3,80.2,7.9,in %
2021,73.6,80.6,7.0,in %