Borough,Major Category,0
Barking and Dagenham,Burglary,2
Barking and Dagenham,Criminal Damage,4
Barking and Dagenham,Drugs,3
Barking and Dagenham,Fraud or Forgery,2
Barking and Dagenham,Other Notifiable Offences,2
Barking and Dagenham,Robbery,2
Barking and Dagenham,Sexual Offences,2
Barking and Dagenham,Theft and Handling,8
Barking and Dagenham,Violence Against the Person,8
Barnet,Burglary,2
Barnet,Criminal Damage,4
Barnet,Drugs,3
Barnet,Fraud or Forgery,2
Barnet,Other Notifiable Offences,2
Barnet,Robbery,2
Barnet,Sexual Offences,2
Barnet,Theft and Handling,8
Barnet,Violence Against the Person,8
Bexley,Burglary,2
Bexley,Criminal Damage,4
Bexley,Drugs,3
Bexley,Fraud or Forgery,2
Bexley,Other Notifiable Offences,2
Bexley,Robbery,2
Bexley,Sexual Offences,2
Bexley,Theft and Handling,8
Bexley,Violence Against the Person,8
Brent,Burglary,2
Brent,Criminal Damage,4
Brent,Drugs,3
Brent,Fraud or Forgery,2
Brent,Other Notifiable Offences,2
Brent,Robbery,2
Brent,Sexual Offences,2
Brent,Theft and Handling,8
Brent,Violence Against the Person,8
Bromley,Burglary,2
Bromley,Criminal Damage,4
Bromley,Drugs,3
Bromley,Fraud or Forgery,2
Bromley,Other Notifiable Offences,2
Bromley,Robbery,2
Bromley,Sexual Offences,2
Bromley,Theft and Handling,8
Bromley,Violence Against the Person,8
Camden,Burglary,2
Camden,Criminal Damage,4
Camden,Drugs,3
Camden,Fraud or Forgery,2
Camden,Other Notifiable Offences,2
Camden,Robbery,2
Camden,Sexual Offences,2
Camden,Theft and Handling,8
Camden,Violence Against the Person,8
Croydon,Burglary,2
Croydon,Criminal Damage,4
Croydon,Drugs,3
Croydon,Fraud or Forgery,2
Croydon,Other Notifiable Offences,2
Croydon,Robbery,2
Croydon,Sexual Offences,2
Croydon,Theft and Handling,8
Croydon,Violence Against the Person,8
Ealing,Burglary,2
Ealing,Criminal Damage,4
Ealing,Drugs,3
Ealing,Fraud or Forgery,2
Ealing,Other Notifiable Offences,2
Ealing,Robbery,2
Ealing,Sexual Offences,2
Ealing,Theft and Handling,8
Ealing,Violence Against the Person,8
Enfield,Burglary,2
Enfield,Criminal Damage,4
Enfield,Drugs,3
Enfield,Fraud or Forgery,2
Enfield,Other Notifiable Offences,2
Enfield,Robbery,2
Enfield,Sexual Offences,2
Enfield,Theft and Handling,8
Enfield,Violence Against the Person,8
Greenwich,Burglary,2
Greenwich,Criminal Damage,4
Greenwich,Drugs,3
Greenwich,Fraud or Forgery,2
Greenwich,Other Notifiable Offences,2
Greenwich,Robbery,2
Greenwich,Sexual Offences,2
Greenwich,Theft and Handling,8
Greenwich,Violence Against the Person,8
Hackney,Burglary,2
Hackney,Criminal Damage,4
Hackney,Drugs,3
Hackney,Fraud or Forgery,2
Hackney,Other Notifiable Offences,2
Hackney,Robbery,2
Hackney,Sexual Offences,2
Hackney,Theft and Handling,8
Hackney,Violence Against the Person,8
Hammersmith and Fulham,Burglary,2
Hammersmith and Fulham,Criminal Damage,4
Hammersmith and Fulham,Drugs,3
Hammersmith and Fulham,Fraud or Forgery,2
Hammersmith and Fulham,Other Notifiable Offences,2
Hammersmith and Fulham,Robbery,2
Hammersmith and Fulham,Sexual Offences,2
Hammersmith and Fulham,Theft and Handling,8
Hammersmith and Fulham,Violence Against the Person,8
Haringey,Burglary,2
Haringey,Criminal Damage,4
Haringey,Drugs,3
Haringey,Fraud or Forgery,2
Haringey,Other Notifiable Offences,2
Haringey,Robbery,2
Haringey,Sexual Offences,2
Haringey,Theft and Handling,8
Haringey,Violence Against the Person,8
Harrow,Burglary,2
Harrow,Criminal Damage,4
Harrow,Drugs,3
Harrow,Fraud or Forgery,2
Harrow,Other Notifiable Offences,2
Harrow,Robbery,2
Harrow,Sexual Offences,2
Harrow,Theft and Handling,8
Harrow,Violence Against the Person,8
Havering,Burglary,2
Havering,Criminal Damage,4
Havering,Drugs,3
Havering,Fraud or Forgery,2
Havering,Other Notifiable Offences,2
Havering,Robbery,2
Havering,Sexual Offences,2
Havering,Theft and Handling,8
Havering,Violence Against the Person,8
Hillingdon,Burglary,2
Hillingdon,Criminal Damage,4
Hillingdon,Drugs,3
Hillingdon,Fraud or Forgery,2
Hillingdon,Other Notifiable Offences,2
Hillingdon,Robbery,2
Hillingdon,Sexual Offences,2
Hillingdon,Theft and Handling,8
Hillingdon,Violence Against the Person,8
Hounslow,Burglary,2
Hounslow,Criminal Damage,4
Hounslow,Drugs,3
Hounslow,Fraud or Forgery,2
Hounslow,Other Notifiable Offences,2
Hounslow,Robbery,2
Hounslow,Sexual Offences,2
Hounslow,Theft and Handling,8
Hounslow,Violence Against the Person,8
Islington,Burglary,2
Islington,Criminal Damage,4
Islington,Drugs,3
Islington,Fraud or Forgery,2
Islington,Other Notifiable Offences,2
Islington,Robbery,2
Islington,Sexual Offences,2
Islington,Theft and Handling,8
Islington,Violence Against the Person,8
Kensington and Chelsea,Burglary,2
Kensington and Chelsea,Criminal Damage,4
Kensington and Chelsea,Drugs,3
Kensington and Chelsea,Fraud or Forgery,2
Kensington and Chelsea,Other Notifiable Offences,2
Kensington and Chelsea,Robbery,2
Kensington and Chelsea,Sexual Offences,2
Kensington and Chelsea,Theft and Handling,8
Kensington and Chelsea,Violence Against the Person,8
Kingston upon Thames,Burglary,2
Kingston upon Thames,Criminal Damage,4
Kingston upon Thames,Drugs,3
Kingston upon Thames,Fraud or Forgery,2
Kingston upon Thames,Other Notifiable Offences,2
Kingston upon Thames,Robbery,2
Kingston upon Thames,Sexual Offences,2
Kingston upon Thames,Theft and Handling,8
Kingston upon Thames,Violence Against the Person,8
Lambeth,Burglary,2
Lambeth,Criminal Damage,4
Lambeth,Drugs,3
Lambeth,Fraud or Forgery,2
Lambeth,Other Notifiable Offences,2
Lambeth,Robbery,2
Lambeth,Sexual Offences,2
Lambeth,Theft and Handling,8
Lambeth,Violence Against the Person,8
Lewisham,Burglary,2
Lewisham,Criminal Damage,4
Lewisham,Drugs,3
Lewisham,Fraud or Forgery,2
Lewisham,Other Notifiable Offences,2
Lewisham,Robbery,2
Lewisham,Sexual Offences,2
Lewisham,Theft and Handling,8
Lewisham,Violence Against the Person,8
Merton,Burglary,2
Merton,Criminal Damage,4
Merton,Drugs,3
Merton,Fraud or Forgery,2
Merton,Other Notifiable Offences,2
Merton,Robbery,2
Merton,Sexual Offences,2
Merton,Theft and Handling,8
Merton,Violence Against the Person,8
Newham,Burglary,2
Newham,Criminal Damage,4
Newham,Drugs,3
Newham,Fraud or Forgery,2
Newham,Other Notifiable Offences,2
Newham,Robbery,2
Newham,Sexual Offences,2
Newham,Theft and Handling,8
Newham,Violence Against the Person,8
Redbridge,Burglary,2
Redbridge,Criminal Damage,4
Redbridge,Drugs,3
Redbridge,Fraud or Forgery,2
Redbridge,Other Notifiable Offences,2
Redbridge,Robbery,2
Redbridge,Sexual Offences,2
Redbridge,Theft and Handling,8
Redbridge,Violence Against the Person,8
Richmond upon Thames,Burglary,2
Richmond upon Thames,Criminal Damage,4
Richmond upon Thames,Drugs,3
Richmond upon Thames,Fraud or Forgery,2
Richmond upon Thames,Other Notifiable Offences,2
Richmond upon Thames,Robbery,2
Richmond upon Thames,Sexual Offences,2
Richmond upon Thames,Theft and Handling,8
Richmond upon Thames,Violence Against the Person,8
Southwark,Burglary,2
Southwark,Criminal Damage,4
Southwark,Drugs,3
Southwark,Fraud or Forgery,2
Southwark,Other Notifiable Offences,2
Southwark,Robbery,2
Southwark,Sexual Offences,2
Southwark,Theft and Handling,8
Southwark,Violence Against the Person,8
Sutton,Burglary,2
Sutton,Criminal Damage,4
Sutton,Drugs,3
Sutton,Fraud or Forgery,2
Sutton,Other Notifiable Offences,2
Sutton,Robbery,2
Sutton,Sexual Offences,2
Sutton,Theft and Handling,8
Sutton,Violence Against the Person,8
Tower Hamlets,Burglary,2
Tower Hamlets,Criminal Damage,4
Tower Hamlets,Drugs,3
Tower Hamlets,Fraud or Forgery,2
Tower Hamlets,Other Notifiable Offences,2
Tower Hamlets,Robbery,2
Tower Hamlets,Sexual Offences,2
Tower Hamlets,Theft and Handling,8
Tower Hamlets,Violence Against the Person,8
Waltham Forest,Burglary,2
Waltham Forest,Criminal Damage,4
Waltham Forest,Drugs,3
Waltham Forest,Fraud or Forgery,2
Waltham Forest,Other Notifiable Offences,2
Waltham Forest,Robbery,2
Waltham Forest,Sexual Offences,2
Waltham Forest,Theft and Handling,8
Waltham Forest,Violence Against the Person,8
Wandsworth,Burglary,2
Wandsworth,Criminal Damage,4
Wandsworth,Drugs,3
Wandsworth,Fraud or Forgery,2
Wandsworth,Other Notifiable Offences,2
Wandsworth,Robbery,2
Wandsworth,Sexual Offences,2
Wandsworth,Theft and Handling,8
Wandsworth,Violence Against the Person,8
Westminster,Burglary,2
Westminster,Criminal Damage,4
Westminster,Drugs,3
Westminster,Fraud or Forgery,2
Westminster,Other Notifiable Offences,2
Westminster,Robbery,2
Westminster,Sexual Offences,2
Westminster,Theft and Handling,8
Westminster,Violence Against the Person,8
